,MAE_kW,MAPE_%,MAPE_9a8p_%,MASE,ME_kW,algo,batch,battery_kW,battery_kWh,end,f_kwarg,filename,index,pv_capacity,scons_%,scons_%_nobatt,ssuff_%,ssuff_%_nobatt,start
0,0.51,71.35,85.66,1.3,0.01,holtwinters,0.0,4.0,6.0,2019-12-31 23:45:00,{},data/2_0.pickle,2.0,2.5,80.65596003444371,62.45864624502496,42.23635693681268,29.426794869938732,2019-01-15 00:00:00
1,0.55,30.29,34.8,1.38,0.0,holtwinters,0.0,8.0,12.0,2019-12-31 23:45:00,{},data/4_0.pickle,4.0,5.0,89.40661393962058,72.58540922698215,46.008190249793806,34.20334462695815,2019-01-15 00:00:00
2,1.17,51.32,52.83,1.97,-0.0,holtwinters,0.0,12.0,18.0,2019-12-31 23:45:00,{},data/6_0.pickle,6.0,7.5,84.95376648181225,63.02607076979407,44.590603526282614,29.59315131016756,2019-01-15 00:00:00
3,0.88,25.76,28.47,1.45,0.0,holtwinters,0.0,16.0,24.0,2019-12-31 23:45:00,{},data/8_0.pickle,8.0,10.0,90.77422745732005,64.66907615350657,47.69580620880631,30.389113674305214,2019-01-15 00:00:00
4,1.12,25.39,27.47,1.69,-0.01,holtwinters,0.0,20.0,30.0,2019-12-31 23:45:00,{},data/10_0.pickle,10.0,12.5,90.63378490554246,66.47554422448745,47.59115376718452,31.381879728708878,2019-01-15 00:00:00
5,1.28,25.24,26.11,1.51,0.01,holtwinters,0.0,24.0,36.0,2019-12-31 23:45:00,{},data/12_0.pickle,12.0,15.0,91.53979254369546,68.79754986376507,47.921962444559604,32.479143364011854,2019-01-15 00:00:00
6,2.09,40.07,42.09,1.96,-0.05,holtwinters,0.0,28.0,42.0,2019-12-31 23:45:00,{},data/14_0.pickle,14.0,17.5,87.34880558307181,60.18553498256697,46.36878480877492,28.43282394922628,2019-01-15 00:00:00
7,1.61,23.31,24.51,1.63,-0.01,holtwinters,0.0,32.0,48.0,2019-12-31 23:45:00,{},data/16_0.pickle,16.0,20.0,90.97696883119035,64.26751114623698,48.05767405132569,30.310553666972844,2019-01-15 00:00:00
8,1.55,19.91,20.81,1.5,0.0,holtwinters,0.0,36.0,54.0,2019-12-31 23:45:00,{},data/18_0.pickle,18.0,22.5,92.05436864946371,66.00059926044176,48.446409221818335,31.14215475959395,2019-01-15 00:00:00
9,1.96,23.27,24.85,1.91,-0.02,holtwinters,0.0,40.0,60.0,2019-12-31 23:45:00,{},data/20_0.pickle,20.0,25.0,90.08456292816953,60.87961045063349,47.91655256724739,28.80279657659746,2019-01-15 00:00:00
