,MAE_kW,MAPE_%,MAPE_9a8p_%,MASE,ME_kW,algo,batch,battery_kW,battery_kWh,end,f_kwarg,filename,index,pv_capacity,scons_%,scons_%_nobatt,ssuff_%,ssuff_%_nobatt,start
0,0.5,68.63,87.95,1.29,0.0,sklearn_models,0.0,4.0,6.0,2019-12-31 23:45:00,{'model': 'lasso'},data/2_0.pickle,2.0,2.5,79.79118348944856,62.45864624502496,41.84261842517756,29.426794869938732,2019-01-15 00:00:00
1,0.55,30.21,35.7,1.39,0.0,sklearn_models,0.0,8.0,12.0,2019-12-31 23:45:00,{'model': 'lasso'},data/4_0.pickle,4.0,5.0,89.02540359862346,72.58540922698215,45.909163432797854,34.20334462695815,2019-01-15 00:00:00
2,1.04,43.52,49.5,1.74,0.02,sklearn_models,0.0,12.0,18.0,2019-12-31 23:45:00,{'model': 'lasso'},data/6_0.pickle,6.0,7.5,85.63236802883281,63.02607076979407,45.111288671906465,29.59315131016756,2019-01-15 00:00:00
3,0.94,27.46,30.71,1.55,0.05,sklearn_models,0.0,16.0,24.0,2019-12-31 23:45:00,{'model': 'lasso'},data/8_0.pickle,8.0,10.0,90.39198641811674,64.66907615350657,47.61210597075381,30.389113674305214,2019-01-15 00:00:00
4,1.05,22.73,27.96,1.58,0.02,sklearn_models,0.0,20.0,30.0,2019-12-31 23:45:00,{'model': 'lasso'},data/10_0.pickle,10.0,12.5,90.40576577464913,66.47554422448745,47.55738226542414,31.381879728708878,2019-01-15 00:00:00
5,1.33,25.94,28.07,1.57,0.03,sklearn_models,0.0,24.0,36.0,2019-12-31 23:45:00,{'model': 'lasso'},data/12_0.pickle,12.0,15.0,90.90667416963971,68.79754986376507,47.65020702849509,32.479143364011854,2019-01-15 00:00:00
6,1.69,31.45,35.77,1.59,0.02,sklearn_models,0.0,28.0,42.0,2019-12-31 23:45:00,{'model': 'lasso'},data/14_0.pickle,14.0,17.5,87.90933364928858,60.18553498256697,46.81476036437807,28.43282394922628,2019-01-15 00:00:00
7,1.57,22.18,25.35,1.59,0.04,sklearn_models,0.0,32.0,48.0,2019-12-31 23:45:00,{'model': 'lasso'},data/16_0.pickle,16.0,20.0,90.87851635685332,64.26751114623698,48.05540668191936,30.310553666972844,2019-01-15 00:00:00
8,1.76,22.26,24.75,1.7,0.01,sklearn_models,0.0,36.0,54.0,2019-12-31 23:45:00,{'model': 'lasso'},data/18_0.pickle,18.0,22.5,91.09782984356546,66.00059926044176,48.022694629835634,31.14215475959395,2019-01-15 00:00:00
9,1.74,19.89,21.81,1.69,0.08,sklearn_models,0.0,40.0,60.0,2019-12-31 23:45:00,{'model': 'lasso'},data/20_0.pickle,20.0,25.0,90.91600348991304,60.87961045063349,48.482451862735964,28.80279657659746,2019-01-15 00:00:00
10,1.78,19.34,21.27,1.6,0.03,sklearn_models,0.0,44.0,66.0,2019-12-31 23:45:00,{'model': 'lasso'},data/22_0.pickle,22.0,27.5,90.68180362041068,60.69567685412945,48.23621161567346,28.677916607737888,2019-01-15 00:00:00
11,2.11,20.01,21.94,1.8,0.03,sklearn_models,0.0,48.0,72.0,2019-12-31 23:45:00,{'model': 'lasso'},data/24_0.pickle,24.0,30.0,91.13975581207654,62.04751375476646,48.45781183923916,29.33477741190689,2019-01-15 00:00:00
12,1.96,16.26,18.82,1.73,0.0,sklearn_models,0.0,52.0,78.0,2019-12-31 23:45:00,{'model': 'lasso'},data/26_0.pickle,26.0,32.5,93.91382342483872,69.01951558817142,49.24363915432634,32.50710589063976,2019-01-15 00:00:00
13,2.24,18.03,20.51,1.68,0.04,sklearn_models,0.0,56.0,84.0,2019-12-31 23:45:00,{'model': 'lasso'},data/28_0.pickle,28.0,35.0,92.46616913580638,65.62028359496276,48.83882007629907,30.94634545708756,2019-01-15 00:00:00
14,2.08,15.37,17.39,1.63,0.09,sklearn_models,0.0,60.0,90.0,2019-12-31 23:45:00,{'model': 'lasso'},data/30_0.pickle,30.0,37.5,93.42375345074545,65.09304684370835,49.346970401343846,30.652212954687823,2019-01-15 00:00:00
15,2.41,15.19,16.89,1.6,0.06,sklearn_models,0.0,70.0,105.0,2019-12-31 23:45:00,{'model': 'lasso'},data/35_0.pickle,35.0,43.75,93.87881957338625,66.69280027391147,49.30279218390102,31.296104592130906,2019-01-15 00:00:00
16,2.76,15.07,16.53,1.68,0.01,sklearn_models,0.0,80.0,120.0,2019-12-31 23:45:00,{'model': 'lasso'},data/40_0.pickle,40.0,50.0,94.54013880026618,69.33546887149447,49.45772550700077,32.55247779262071,2019-01-15 00:00:00
17,2.81,13.58,15.6,1.73,0.11,sklearn_models,0.0,90.0,135.0,2019-12-31 23:45:00,{'model': 'lasso'},data/45_0.pickle,45.0,56.25,93.69979947369521,65.72905172669121,49.592645045290595,31.074324047027005,2019-01-15 00:00:00
18,3.29,14.65,16.15,1.83,0.05,sklearn_models,0.0,100.0,150.0,2019-12-31 23:45:00,{'model': 'lasso'},data/50_0.pickle,50.0,62.5,93.74733863944098,66.06414395563259,49.47241029374429,31.15782049285919,2019-01-15 00:00:00
19,3.29,13.05,14.91,1.75,0.07,sklearn_models,0.0,110.0,165.0,2019-12-31 23:45:00,{'model': 'lasso'},data/55_0.pickle,55.0,68.75,94.13213594834885,66.12176575880541,49.5557035156067,31.092100779386296,2019-01-15 00:00:00
20,3.73,13.63,15.66,1.83,0.1,sklearn_models,0.0,120.0,180.0,2019-12-31 23:45:00,{'model': 'lasso'},data/60_0.pickle,60.0,75.0,94.05839858782083,65.88233421268274,49.689178740404834,31.067693135171282,2019-01-15 00:00:00
21,3.66,12.41,13.95,1.74,0.05,sklearn_models,0.0,130.0,195.0,2019-12-31 23:45:00,{'model': 'lasso'},data/65_0.pickle,65.0,81.25,94.58649494540636,66.73586022610982,49.81546076204525,31.432047374566274,2019-01-15 00:00:00
22,4.04,12.59,14.37,1.86,0.04,sklearn_models,0.0,140.0,210.0,2019-12-31 23:45:00,{'model': 'lasso'},data/70_0.pickle,70.0,87.5,94.50066612993909,66.43216920755756,49.78722706737037,31.272003482865745,2019-01-15 00:00:00
23,4.13,12.14,13.8,1.77,0.07,sklearn_models,0.0,150.0,225.0,2019-12-31 23:45:00,{'model': 'lasso'},data/75_0.pickle,75.0,93.75,94.42867057822745,65.707692388576,49.895078909938434,30.997947602191584,2019-01-15 00:00:00
24,4.38,12.05,13.9,1.86,0.1,sklearn_models,0.0,160.0,240.0,2019-12-31 23:45:00,{'model': 'lasso'},data/80_0.pickle,80.0,100.0,94.46474177655166,65.8233894655708,49.9569711461379,31.082290810537735,2019-01-15 00:00:00
25,4.58,11.77,13.73,1.87,0.18,sklearn_models,0.0,170.0,255.0,2019-12-31 23:45:00,{'model': 'lasso'},data/85_0.pickle,85.0,106.25,94.72254172282648,66.56048105072952,49.92167361420758,31.34681483830332,2019-01-15 00:00:00
26,4.91,11.92,13.61,1.89,0.12,sklearn_models,0.0,180.0,270.0,2019-12-31 23:45:00,{'model': 'lasso'},data/90_0.pickle,90.0,112.5,94.50421817807705,65.96010553821561,49.842960679309606,31.06600377251041,2019-01-15 00:00:00
27,4.99,11.52,13.35,1.88,0.04,sklearn_models,0.0,190.0,285.0,2019-12-31 23:45:00,{'model': 'lasso'},data/95_0.pickle,95.0,118.75,94.56685779202047,65.69224671654199,50.00812568400487,31.01767312819147,2019-01-15 00:00:00
28,0.45,57.56,73.3,1.2,0.0,sklearn_models,1.0,4.0,6.0,2019-12-31 23:45:00,{'model': 'lasso'},data/2_1.pickle,2.0,2.5,81.52175572950081,63.22333009072371,42.62491848249179,29.710174306542395,2019-01-15 00:00:00
29,0.66,45.73,54.7,1.78,0.01,sklearn_models,1.0,8.0,12.0,2019-12-31 23:45:00,{'model': 'lasso'},data/4_1.pickle,4.0,5.0,84.48111046368307,60.02092166144842,44.61843265854984,28.238364248469242,2019-01-15 00:00:00
30,0.67,24.74,27.61,1.48,0.01,sklearn_models,1.0,12.0,18.0,2019-12-31 23:45:00,{'model': 'lasso'},data/6_1.pickle,6.0,7.5,90.25780283995057,66.04091922707774,47.370240179851855,31.078321203037717,2019-01-15 00:00:00
31,0.96,27.93,34.14,1.61,0.01,sklearn_models,1.0,16.0,24.0,2019-12-31 23:45:00,{'model': 'lasso'},data/8_1.pickle,8.0,10.0,88.65661774657681,63.40362730300376,46.64314377636053,29.7478082629481,2019-01-15 00:00:00
32,1.04,24.29,27.48,1.67,0.05,sklearn_models,1.0,20.0,30.0,2019-12-31 23:45:00,{'model': 'lasso'},data/10_1.pickle,10.0,12.5,89.45402251102867,59.45425109575744,48.02477656268487,28.29251886615133,2019-01-15 00:00:00
33,1.57,30.84,33.76,1.75,0.05,sklearn_models,1.0,24.0,36.0,2019-12-31 23:45:00,{'model': 'lasso'},data/12_1.pickle,12.0,15.0,88.96870752314436,63.09582395865468,47.1954833351268,29.791100402281927,2019-01-15 00:00:00
34,1.64,27.89,30.25,1.69,-0.01,sklearn_models,1.0,28.0,42.0,2019-12-31 23:45:00,{'model': 'lasso'},data/14_1.pickle,14.0,17.5,89.62900847981318,64.86856421924274,47.376625394347414,30.69050518053619,2019-01-15 00:00:00
35,1.34,19.9,22.11,1.59,0.02,sklearn_models,1.0,32.0,48.0,2019-12-31 23:45:00,{'model': 'lasso'},data/16_1.pickle,16.0,20.0,90.3524047744317,60.36044806066576,48.05793748310578,28.518000234327182,2019-01-15 00:00:00
36,1.72,21.97,24.28,1.63,0.02,sklearn_models,1.0,36.0,54.0,2019-12-31 23:45:00,{'model': 'lasso'},data/18_1.pickle,18.0,22.5,90.81506875219887,62.68197093957791,48.35502474795565,29.707339528665315,2019-01-15 00:00:00
