,MAE_kW,MAPE_%,MAPE_9a8p_%,MASE,ME_kW,algo,batch,battery_kW,battery_kWh,end,f_kwarg,filename,index,pv_capacity,scons_%,scons_%_nobatt,ssuff_%,ssuff_%_nobatt,start
0,0.52,71.75,91.68,1.35,-0.01,sklearn_models,0.0,4.0,6.0,2019-12-31 23:45:00,{'model': 'kneighbors'},data/2_0.pickle,2.0,2.5,79.1723209142524,62.45864624502496,41.58475266159999,29.426794869938732,2019-01-15 00:00:00
1,0.57,31.5,37.17,1.44,-0.0,sklearn_models,0.0,8.0,12.0,2019-12-31 23:45:00,{'model': 'kneighbors'},data/4_0.pickle,4.0,5.0,88.67238503836583,72.58540922698215,45.74001965346666,34.20334462695815,2019-01-15 00:00:00
2,1.04,43.62,49.93,1.75,0.01,sklearn_models,0.0,12.0,18.0,2019-12-31 23:45:00,{'model': 'kneighbors'},data/6_0.pickle,6.0,7.5,85.62671894342718,63.02607076979407,45.073190368638464,29.59315131016756,2019-01-15 00:00:00
3,0.95,28.13,31.49,1.58,0.01,sklearn_models,0.0,16.0,24.0,2019-12-31 23:45:00,{'model': 'kneighbors'},data/8_0.pickle,8.0,10.0,90.03058198362204,64.66907615350657,47.360912769388236,30.389113674305214,2019-01-15 00:00:00
4,1.04,22.71,27.7,1.57,-0.0,sklearn_models,0.0,20.0,30.0,2019-12-31 23:45:00,{'model': 'kneighbors'},data/10_0.pickle,10.0,12.5,90.24070548442408,66.47554422448745,47.418225336321555,31.381879728708878,2019-01-15 00:00:00
5,1.29,25.37,27.19,1.52,0.01,sklearn_models,0.0,24.0,36.0,2019-12-31 23:45:00,{'model': 'kneighbors'},data/12_0.pickle,12.0,15.0,91.04851155341385,68.79754986376507,47.68792176017057,32.479143364011854,2019-01-15 00:00:00
6,1.63,30.5,34.79,1.53,0.01,sklearn_models,0.0,28.0,42.0,2019-12-31 23:45:00,{'model': 'kneighbors'},data/14_0.pickle,14.0,17.5,88.17241860797023,60.18553498256697,46.9107104250424,28.43282394922628,2019-01-15 00:00:00
7,1.51,21.32,23.99,1.53,0.04,sklearn_models,0.0,32.0,48.0,2019-12-31 23:45:00,{'model': 'kneighbors'},data/16_0.pickle,16.0,20.0,91.04905267325117,64.26751114623698,48.10654448765607,30.310553666972844,2019-01-15 00:00:00
8,1.67,21.3,23.5,1.62,-0.0,sklearn_models,0.0,36.0,54.0,2019-12-31 23:45:00,{'model': 'kneighbors'},data/18_0.pickle,18.0,22.5,91.34422348405708,66.00059926044176,48.11351193895118,31.14215475959395,2019-01-15 00:00:00
9,1.66,19.12,20.8,1.62,0.04,sklearn_models,0.0,40.0,60.0,2019-12-31 23:45:00,{'model': 'kneighbors'},data/20_0.pickle,20.0,25.0,91.03880684703806,60.87961045063349,48.51585321327462,28.80279657659746,2019-01-15 00:00:00
10,1.69,18.44,20.19,1.52,0.03,sklearn_models,0.0,44.0,66.0,2019-12-31 23:45:00,{'model': 'kneighbors'},data/22_0.pickle,22.0,27.5,91.0285215341718,60.69567685412945,48.410510234309015,28.677916607737888,2019-01-15 00:00:00
11,1.95,18.67,20.29,1.67,0.02,sklearn_models,0.0,48.0,72.0,2019-12-31 23:45:00,{'model': 'kneighbors'},data/24_0.pickle,24.0,30.0,91.48866010734129,62.04751375476646,48.63368610919152,29.33477741190689,2019-01-15 00:00:00
