,MAE_kW,MAPE_%,MAPE_9a8p_%,MASE,ME_kW,algo,batch,battery_kW,battery_kWh,end,f_kwarg,filename,index,pv_capacity,scons_%,scons_%_nobatt,ssuff_%,ssuff_%_nobatt,start
0,0.6,96.79,71.29,1.56,-0.01,ma,0.0,4.0,6.0,2019-12-31 23:45:00,{},data/2_0.pickle,2.0,2.5,81.96743871099623,62.45864624502496,43.37002548581505,29.426794869938732,2019-01-15 00:00:00
1,0.72,46.49,30.9,1.83,-0.01,ma,0.0,8.0,12.0,2019-12-31 23:45:00,{},data/4_0.pickle,4.0,5.0,90.43876024432117,72.58540922698215,47.86742501136286,34.20334462695815,2019-01-15 00:00:00
2,1.18,55.75,44.91,1.97,-0.02,ma,0.0,12.0,18.0,2019-12-31 23:45:00,{},data/6_0.pickle,6.0,7.5,86.97769121137387,63.02607076979407,45.90199772182408,29.59315131016756,2019-01-15 00:00:00
3,1.11,34.19,33.85,1.84,0.01,ma,0.0,16.0,24.0,2019-12-31 23:45:00,{},data/8_0.pickle,8.0,10.0,89.04483140533212,64.66907615350657,47.108020330731456,30.389113674305214,2019-01-15 00:00:00
4,1.44,34.34,26.69,2.16,-0.03,ma,0.0,20.0,30.0,2019-12-31 23:45:00,{},data/10_0.pickle,10.0,12.5,90.65079230532481,66.47554422448745,48.046750585682574,31.381879728708878,2019-01-15 00:00:00
5,1.63,35.46,27.67,1.92,-0.02,ma,0.0,24.0,36.0,2019-12-31 23:45:00,{},data/12_0.pickle,12.0,15.0,91.58580284913182,68.79754986376507,48.624237485603935,32.479143364011854,2019-01-15 00:00:00
6,2.29,45.96,36.84,2.14,-0.06,ma,0.0,28.0,42.0,2019-12-31 23:45:00,{},data/14_0.pickle,14.0,17.5,87.84732976760864,60.18553498256697,46.62924975729908,28.43282394922628,2019-01-15 00:00:00
7,1.67,24.55,22.72,1.69,-0.03,ma,0.0,32.0,48.0,2019-12-31 23:45:00,{},data/16_0.pickle,16.0,20.0,91.3177392305905,64.26751114623698,48.39779441689067,30.310553666972844,2019-01-15 00:00:00
8,2.08,29.07,21.68,2.02,-0.05,ma,0.0,36.0,54.0,2019-12-31 23:45:00,{},data/18_0.pickle,18.0,22.5,92.76528389503704,66.00059926044176,49.2305156339109,31.14215475959395,2019-01-15 00:00:00
9,2.05,24.8,20.65,1.99,-0.04,ma,0.0,40.0,60.0,2019-12-31 23:45:00,{},data/20_0.pickle,20.0,25.0,91.12234283064049,60.87961045063349,48.46835959574814,28.80279657659746,2019-01-15 00:00:00
10,2.64,30.77,20.23,2.37,-0.06,ma,0.0,44.0,66.0,2019-12-31 23:45:00,{},data/22_0.pickle,22.0,27.5,90.81532428930906,60.69567685412945,48.22603024521746,28.677916607737888,2019-01-15 00:00:00
11,2.5,25.64,19.24,2.14,-0.08,ma,0.0,48.0,72.0,2019-12-31 23:45:00,{},data/24_0.pickle,24.0,30.0,92.41101971960265,62.04751375476646,49.134335732678586,29.33477741190689,2019-01-15 00:00:00
12,2.77,25.34,17.69,2.44,-0.06,ma,0.0,52.0,78.0,2019-12-31 23:45:00,{},data/26_0.pickle,26.0,32.5,94.9974764600043,69.01951558817142,50.32923711169645,32.50710589063976,2019-01-15 00:00:00
13,2.89,25.31,19.77,2.17,-0.07,ma,0.0,56.0,84.0,2019-12-31 23:45:00,{},data/28_0.pickle,28.0,35.0,93.16776584918634,65.62028359496276,49.40470685025866,30.94634545708756,2019-01-15 00:00:00
14,2.63,20.78,17.68,2.06,-0.04,ma,0.0,60.0,90.0,2019-12-31 23:45:00,{},data/30_0.pickle,30.0,37.5,93.41842879869839,65.09304684370835,49.490618959097745,30.652212954687823,2019-01-15 00:00:00
15,3.18,21.29,17.92,2.12,-0.07,ma,0.0,70.0,105.0,2019-12-31 23:45:00,{},data/35_0.pickle,35.0,43.75,93.84227927392577,66.69280027391147,49.5415000610492,31.296104592130906,2019-01-15 00:00:00
16,4.02,24.26,16.5,2.45,-0.12,ma,0.0,80.0,120.0,2019-12-31 23:45:00,{},data/40_0.pickle,40.0,50.0,95.44689678918608,69.33546887149447,50.40370393551612,32.55247779262071,2019-01-15 00:00:00
17,4.11,21.11,16.83,2.53,-0.1,ma,0.0,90.0,135.0,2019-12-31 23:45:00,{},data/45_0.pickle,45.0,56.25,93.7857636962203,65.72905172669121,49.83943817253393,31.074324047027005,2019-01-15 00:00:00
18,4.6,22.47,16.3,2.56,-0.13,ma,0.0,100.0,150.0,2019-12-31 23:45:00,{},data/50_0.pickle,50.0,62.5,94.30809192667165,66.06414395563259,50.01949240761004,31.15782049285919,2019-01-15 00:00:00
19,4.61,19.56,15.22,2.45,-0.11,ma,0.0,110.0,165.0,2019-12-31 23:45:00,{},data/55_0.pickle,55.0,68.75,94.4196107611516,66.12176575880541,49.93210186208549,31.092100779386296,2019-01-15 00:00:00
20,5.79,23.0,15.5,2.84,-0.17,ma,0.0,120.0,180.0,2019-12-31 23:45:00,{},data/60_0.pickle,60.0,75.0,94.40579127827091,65.88233421268274,50.04975218015683,31.067693135171282,2019-01-15 00:00:00
21,6.14,23.31,14.83,2.93,-0.2,ma,0.0,130.0,195.0,2019-12-31 23:45:00,{},data/65_0.pickle,65.0,81.25,94.85615818313943,66.73586022610982,50.23430494718764,31.432047374566274,2019-01-15 00:00:00
22,6.09,20.53,14.41,2.81,-0.17,ma,0.0,140.0,210.0,2019-12-31 23:45:00,{},data/70_0.pickle,70.0,87.5,94.85068826175967,66.43216920755756,50.21854311137194,31.272003482865745,2019-01-15 00:00:00
23,6.63,21.21,14.48,2.84,-0.19,ma,0.0,150.0,225.0,2019-12-31 23:45:00,{},data/75_0.pickle,75.0,93.75,94.59798167663976,65.707692388576,50.17423751045901,30.997947602191584,2019-01-15 00:00:00
24,6.67,19.63,14.78,2.83,-0.17,ma,0.0,160.0,240.0,2019-12-31 23:45:00,{},data/80_0.pickle,80.0,100.0,94.574725818183,65.8233894655708,50.213857488071895,31.082290810537735,2019-01-15 00:00:00
25,7.27,20.26,14.75,2.97,-0.2,ma,0.0,170.0,255.0,2019-12-31 23:45:00,{},data/85_0.pickle,85.0,106.25,94.87992493344181,66.56048105072952,50.24861104395822,31.34681483830332,2019-01-15 00:00:00
26,7.68,20.28,14.48,2.95,-0.23,ma,0.0,180.0,270.0,2019-12-31 23:45:00,{},data/90_0.pickle,90.0,112.5,94.72319519712978,65.96010553821561,50.17519016610079,31.06600377251041,2019-01-15 00:00:00
27,7.96,19.84,13.91,3.01,-0.24,ma,0.0,190.0,285.0,2019-12-31 23:45:00,{},data/95_0.pickle,95.0,118.75,94.81277453144341,65.69224671654199,50.33793276172494,31.01767312819147,2019-01-15 00:00:00
28,0.55,80.1,66.55,1.49,-0.01,ma,1.0,4.0,6.0,2019-12-31 23:45:00,{},data/2_1.pickle,2.0,2.5,82.38968223908101,63.22333009072371,43.47535834259937,29.710174306542395,2019-01-15 00:00:00
29,0.91,68.02,57.14,2.43,-0.01,ma,1.0,8.0,12.0,2019-12-31 23:45:00,{},data/4_1.pickle,4.0,5.0,83.57299227238558,60.02092166144842,44.21907589675433,28.238364248469242,2019-01-15 00:00:00
30,0.89,35.75,28.26,1.96,-0.02,ma,1.0,12.0,18.0,2019-12-31 23:45:00,{},data/6_1.pickle,6.0,7.5,89.74704118596975,66.04091922707774,47.438414205036366,31.078321203037717,2019-01-15 00:00:00
31,1.22,40.63,32.32,2.05,-0.03,ma,1.0,16.0,24.0,2019-12-31 23:45:00,{},data/8_1.pickle,8.0,10.0,89.6944145947506,63.40362730300376,47.321219369339644,29.7478082629481,2019-01-15 00:00:00
32,1.09,26.14,29.35,1.74,0.01,ma,1.0,20.0,30.0,2019-12-31 23:45:00,{},data/10_1.pickle,10.0,12.5,89.28275472870884,59.45425109575744,47.77733554352105,28.29251886615133,2019-01-15 00:00:00
33,1.57,33.96,29.11,1.75,-0.01,ma,1.0,24.0,36.0,2019-12-31 23:45:00,{},data/12_1.pickle,12.0,15.0,89.90541892895398,63.09582395865468,47.76144498760915,29.791100402281927,2019-01-15 00:00:00
34,1.7,31.84,25.27,1.76,-0.04,ma,1.0,28.0,42.0,2019-12-31 23:45:00,{},data/14_1.pickle,14.0,17.5,91.54195881942363,64.86856421924274,48.68848000519586,30.69050518053619,2019-01-15 00:00:00
35,2.17,34.56,24.34,2.57,-0.06,ma,1.0,32.0,48.0,2019-12-31 23:45:00,{},data/16_1.pickle,16.0,20.0,89.58601649693826,60.36044806066576,47.56776033352701,28.518000234327182,2019-01-15 00:00:00
36,1.74,23.23,21.88,1.64,-0.02,ma,1.0,36.0,54.0,2019-12-31 23:45:00,{},data/18_1.pickle,18.0,22.5,91.9802544185002,62.68197093957791,49.0285911450124,29.707339528665315,2019-01-15 00:00:00
37,2.17,26.43,22.11,2.0,-0.04,ma,1.0,40.0,60.0,2019-12-31 23:45:00,{},data/20_1.pickle,20.0,25.0,91.50890420462429,62.895865569190676,48.549122313603206,29.693590715830915,2019-01-15 00:00:00
38,2.5,29.16,21.47,2.05,-0.06,ma,1.0,44.0,66.0,2019-12-31 23:45:00,{},data/22_1.pickle,22.0,27.5,92.13950806521011,64.6681626094128,48.99820911963504,30.608943279612784,2019-01-15 00:00:00
39,2.96,30.34,20.16,2.3,-0.08,ma,1.0,48.0,72.0,2019-12-31 23:45:00,{},data/24_1.pickle,24.0,30.0,92.49102073464167,64.93777706625295,49.12466843301664,30.68907277991785,2019-01-15 00:00:00
40,2.45,22.99,19.64,2.06,-0.03,ma,1.0,52.0,78.0,2019-12-31 23:45:00,{},data/26_1.pickle,26.0,32.5,92.22193003102417,62.781803549266435,49.05376629071744,29.70329221354082,2019-01-15 00:00:00
41,3.37,29.72,19.22,2.47,-0.07,ma,1.0,56.0,84.0,2019-12-31 23:45:00,{},data/28_1.pickle,28.0,35.0,94.7281040345229,69.91026504780356,50.14191725103396,32.89517887243504,2019-01-15 00:00:00
