,MAE_kW,MAPE_%,MAPE_9a8p_%,MASE,ME_kW,algo,batch,battery_kW,battery_kWh,end,f_kwarg,filename,index,pv_capacity,scons_%,scons_%_nobatt,ssuff_%,ssuff_%_nobatt,start
0,0.0,0.0,0.0,0.0,0.0,perfect,0.0,4.0,6.0,2019-12-31 23:45:00,{},data/2_0.pickle,2.0,2.5,98.10410567076815,62.45864624502496,52.217954394373926,29.426794869938732,2019-01-15 00:00:00
1,0.0,0.0,0.0,0.0,0.0,perfect,0.0,8.0,12.0,2019-12-31 23:45:00,{},data/4_0.pickle,4.0,5.0,98.75798084917056,72.58540922698215,51.166276940795726,34.20334462695815,2019-01-15 00:00:00
2,0.0,0.0,0.0,0.0,0.0,perfect,0.0,12.0,18.0,2019-12-31 23:45:00,{},data/6_0.pickle,6.0,7.5,97.25059438938705,63.02607076979407,51.37035885052623,29.59315131016756,2019-01-15 00:00:00
3,0.0,0.0,0.0,0.0,0.0,perfect,0.0,16.0,24.0,2019-12-31 23:45:00,{},data/8_0.pickle,8.0,10.0,97.84954329577539,64.66907615350657,51.59648217791024,30.389113674305214,2019-01-15 00:00:00
4,0.0,0.0,0.0,0.0,0.0,perfect,0.0,20.0,30.0,2019-12-31 23:45:00,{},data/10_0.pickle,10.0,12.5,97.86189767414598,66.47554422448745,51.5446680308864,31.381879728708878,2019-01-15 00:00:00
5,0.0,0.0,0.0,0.0,0.0,perfect,0.0,24.0,36.0,2019-12-31 23:45:00,{},data/12_0.pickle,12.0,15.0,98.21929180557817,68.79754986376507,51.45301657188614,32.479143364011854,2019-01-15 00:00:00
6,0.0,0.0,0.0,0.0,0.0,perfect,0.0,28.0,42.0,2019-12-31 23:45:00,{},data/14_0.pickle,14.0,17.5,96.15252379718736,60.18553498256697,51.25724690924966,28.43282394922628,2019-01-15 00:00:00
7,0.0,0.0,0.0,0.0,0.0,perfect,0.0,32.0,48.0,2019-12-31 23:45:00,{},data/16_0.pickle,16.0,20.0,97.3499177875632,64.26751114623698,51.45974249823086,30.310553666972844,2019-01-15 00:00:00
8,0.0,0.0,0.0,0.0,0.0,perfect,0.0,36.0,54.0,2019-12-31 23:45:00,{},data/18_0.pickle,18.0,22.5,97.75113496971312,66.00059926044176,51.51336401256702,31.14215475959395,2019-01-15 00:00:00
9,0.0,0.0,0.0,0.0,0.0,perfect,0.0,40.0,60.0,2019-12-31 23:45:00,{},data/20_0.pickle,20.0,25.0,96.14681680562329,60.87961045063349,51.220667769560514,28.80279657659746,2019-01-15 00:00:00
10,0.0,0.0,0.0,0.0,0.0,perfect,0.0,44.0,66.0,2019-12-31 23:45:00,{},data/22_0.pickle,22.0,27.5,95.9531259219008,60.69567685412945,51.04975910894246,28.677916607737888,2019-01-15 00:00:00
11,0.0,0.0,0.0,0.0,0.0,perfect,0.0,48.0,72.0,2019-12-31 23:45:00,{},data/24_0.pickle,24.0,30.0,96.75303200251349,62.04751375476646,51.45929089530724,29.33477741190689,2019-01-15 00:00:00
12,0.0,0.0,0.0,0.0,0.0,perfect,0.0,52.0,78.0,2019-12-31 23:45:00,{},data/26_0.pickle,26.0,32.5,99.09898129907981,69.01951558817142,51.94295626576957,32.50710589063976,2019-01-15 00:00:00
13,0.0,0.0,0.0,0.0,0.0,perfect,0.0,56.0,84.0,2019-12-31 23:45:00,{},data/28_0.pickle,28.0,35.0,97.9335059707831,65.62028359496276,51.67667216342686,30.94634545708756,2019-01-15 00:00:00
14,0.0,0.0,0.0,0.0,0.0,perfect,0.0,60.0,90.0,2019-12-31 23:45:00,{},data/30_0.pickle,30.0,37.5,98.11474646729292,65.09304684370835,51.81806847512909,30.652212954687823,2019-01-15 00:00:00
15,0.0,0.0,0.0,0.0,0.0,perfect,0.0,70.0,105.0,2019-12-31 23:45:00,{},data/35_0.pickle,35.0,43.75,98.48222553445932,66.69280027391147,51.686854106524954,31.296104592130906,2019-01-15 00:00:00
16,0.0,0.0,0.0,0.0,0.0,perfect,0.0,80.0,120.0,2019-12-31 23:45:00,{},data/40_0.pickle,40.0,50.0,99.16922972621809,69.33546887149447,51.800414986774285,32.55247779262071,2019-01-15 00:00:00
17,0.0,0.0,0.0,0.0,0.0,perfect,0.0,90.0,135.0,2019-12-31 23:45:00,{},data/45_0.pickle,45.0,56.25,97.97833238186236,65.72905172669121,51.80398894834642,31.074324047027005,2019-01-15 00:00:00
18,0.0,0.0,0.0,0.0,0.0,perfect,0.0,100.0,150.0,2019-12-31 23:45:00,{},data/50_0.pickle,50.0,62.5,98.13652506592372,66.06414395563259,51.75977473603255,31.15782049285919,2019-01-15 00:00:00
19,0.0,0.0,0.0,0.0,0.0,perfect,0.0,110.0,165.0,2019-12-31 23:45:00,{},data/55_0.pickle,55.0,68.75,98.29086429118787,66.12176575880541,51.72767080900405,31.092100779386296,2019-01-15 00:00:00
20,0.0,0.0,0.0,0.0,0.0,perfect,0.0,120.0,180.0,2019-12-31 23:45:00,{},data/60_0.pickle,60.0,75.0,98.2514617610814,65.88233421268274,51.86304529837154,31.067693135171282,2019-01-15 00:00:00
21,0.0,0.0,0.0,0.0,0.0,perfect,0.0,130.0,195.0,2019-12-31 23:45:00,{},data/65_0.pickle,65.0,81.25,98.4208710819403,66.73586022610982,51.80274487043599,31.432047374566274,2019-01-15 00:00:00
22,0.0,0.0,0.0,0.0,0.0,perfect,0.0,140.0,210.0,2019-12-31 23:45:00,{},data/70_0.pickle,70.0,87.5,98.40107288735739,66.43216920755756,51.809436235250615,31.272003482865745,2019-01-15 00:00:00
23,0.0,0.0,0.0,0.0,0.0,perfect,0.0,150.0,225.0,2019-12-31 23:45:00,{},data/75_0.pickle,75.0,93.75,98.18142737685554,65.707692388576,51.85693603959017,30.997947602191584,2019-01-15 00:00:00
24,0.0,0.0,0.0,0.0,0.0,perfect,0.0,160.0,240.0,2019-12-31 23:45:00,{},data/80_0.pickle,80.0,100.0,98.19243825109677,65.8233894655708,51.89089183830973,31.082290810537735,2019-01-15 00:00:00
25,0.0,0.0,0.0,0.0,0.0,perfect,0.0,170.0,255.0,2019-12-31 23:45:00,{},data/85_0.pickle,85.0,106.25,98.47322255965223,66.56048105072952,51.862852041776314,31.34681483830332,2019-01-15 00:00:00
26,0.0,0.0,0.0,0.0,0.0,perfect,0.0,180.0,270.0,2019-12-31 23:45:00,{},data/90_0.pickle,90.0,112.5,98.15901263717147,65.96010553821561,51.72945651609052,31.06600377251041,2019-01-15 00:00:00
