,MAE_kW,MAPE_%,MAPE_9a8p_%,MASE,ME_kW,algo,batch,battery_kW,battery_kWh,end,f_kwarg,filename,index,pv_capacity,scons_%,scons_%_nobatt,ssuff_%,ssuff_%_nobatt,start
0,0.5,71.04,89.65,1.3,-0.01,prophet,0.0,4.0,6.0,2019-12-31 23:45:00,{},data/2_0.pickle,2.0,2.5,79.49580792008722,62.45864624502496,41.30245464707886,29.426794869938732,2019-01-15 00:00:00
1,0.53,29.81,33.97,1.35,-0.01,prophet,0.0,8.0,12.0,2019-12-31 23:45:00,{},data/4_0.pickle,4.0,5.0,89.08120802700718,72.58540922698215,45.71738355260125,34.20334462695815,2019-01-15 00:00:00
2,1.0,42.92,46.14,1.67,-0.04,prophet,0.0,12.0,18.0,2019-12-31 23:45:00,{},data/6_0.pickle,6.0,7.5,86.21543742055604,63.02607076979407,45.23927185326594,29.59315131016756,2019-01-15 00:00:00
3,0.98,29.48,31.67,1.62,-0.02,prophet,0.0,16.0,24.0,2019-12-31 23:45:00,{},data/8_0.pickle,8.0,10.0,89.46295836125915,64.66907615350657,46.886079688317686,30.389113674305214,2019-01-15 00:00:00
4,0.98,21.72,24.79,1.47,-0.03,prophet,0.0,20.0,30.0,2019-12-31 23:45:00,{},data/10_0.pickle,10.0,12.5,90.7083980456908,66.47554422448745,47.56060081057444,31.381879728708878,2019-01-15 00:00:00
5,1.25,25.15,26.9,1.48,-0.01,prophet,0.0,24.0,36.0,2019-12-31 23:45:00,{},data/12_0.pickle,12.0,15.0,91.10330910314754,68.79754986376507,47.648022110409194,32.479143364011854,2019-01-15 00:00:00
6,1.66,31.13,32.33,1.56,-0.09,prophet,0.0,28.0,42.0,2019-12-31 23:45:00,{},data/14_0.pickle,14.0,17.5,88.40895592206388,60.18553498256697,46.979240818345694,28.43282394922628,2019-01-15 00:00:00
7,1.4,20.02,21.78,1.42,-0.02,prophet,0.0,32.0,48.0,2019-12-31 23:45:00,{},data/16_0.pickle,16.0,20.0,91.49276840080381,64.26751114623698,48.28432940071388,30.310553666972844,2019-01-15 00:00:00
8,1.53,19.75,20.76,1.49,-0.03,prophet,0.0,36.0,54.0,2019-12-31 23:45:00,{},data/18_0.pickle,18.0,22.5,92.08464873540308,66.00059926044176,48.45115144761002,31.14215475959395,2019-01-15 00:00:00
9,1.6,18.48,19.51,1.55,-0.06,prophet,0.0,40.0,60.0,2019-12-31 23:45:00,{},data/20_0.pickle,20.0,25.0,91.09161320110002,60.87961045063349,48.485230865929275,28.80279657659746,2019-01-15 00:00:00
10,1.7,18.51,19.32,1.53,-0.09,prophet,0.0,44.0,66.0,2019-12-31 23:45:00,{},data/22_0.pickle,22.0,27.5,90.98560953321407,60.69567685412945,48.34017114232882,28.677916607737888,2019-01-15 00:00:00
11,1.87,18.09,18.49,1.6,-0.08,prophet,0.0,48.0,72.0,2019-12-31 23:45:00,{},data/24_0.pickle,24.0,30.0,91.83486236290352,62.04751375476646,48.801078786575374,29.33477741190689,2019-01-15 00:00:00
12,1.71,14.45,15.48,1.51,-0.02,prophet,0.0,52.0,78.0,2019-12-31 23:45:00,{},data/26_0.pickle,26.0,32.5,94.48566286856509,69.01951558817142,49.440809270121264,32.50710589063976,2019-01-15 00:00:00
13,2.03,16.57,16.92,1.52,-0.16,prophet,0.0,56.0,84.0,2019-12-31 23:45:00,{},data/28_0.pickle,28.0,35.0,92.96847265243358,65.62028359496276,48.991338854857815,30.94634545708756,2019-01-15 00:00:00
14,1.86,14.03,14.84,1.46,-0.04,prophet,0.0,60.0,90.0,2019-12-31 23:45:00,{},data/30_0.pickle,30.0,37.5,93.98158080218306,65.09304684370835,49.57514380946228,30.652212954687823,2019-01-15 00:00:00
15,2.08,13.4,13.76,1.39,-0.13,prophet,0.0,70.0,105.0,2019-12-31 23:45:00,{},data/35_0.pickle,35.0,43.75,94.39862456172763,66.69280027391147,49.484070324689995,31.296104592130906,2019-01-15 00:00:00
16,2.4,13.37,13.53,1.46,-0.07,prophet,0.0,80.0,120.0,2019-12-31 23:45:00,{},data/40_0.pickle,40.0,50.0,95.08222837256227,69.33546887149447,49.62738868556475,32.55247779262071,2019-01-15 00:00:00
17,2.35,11.59,12.19,1.44,-0.09,prophet,0.0,90.0,135.0,2019-12-31 23:45:00,{},data/45_0.pickle,45.0,56.25,94.4033373715222,65.72905172669121,49.888314563635,31.074324047027005,2019-01-15 00:00:00
18,2.77,12.52,12.82,1.54,-0.15,prophet,0.0,100.0,150.0,2019-12-31 23:45:00,{},data/50_0.pickle,50.0,62.5,94.32792374812766,66.06414395563259,49.698152787660504,31.15782049285919,2019-01-15 00:00:00
19,2.88,11.71,12.04,1.53,-0.14,prophet,0.0,110.0,165.0,2019-12-31 23:45:00,{},data/55_0.pickle,55.0,68.75,94.69424846467783,66.12176575880541,49.80298905890596,31.092100779386296,2019-01-15 00:00:00
20,3.22,12.07,12.33,1.58,-0.13,prophet,0.0,120.0,180.0,2019-12-31 23:45:00,{},data/60_0.pickle,60.0,75.0,94.4972595720776,65.88233421268274,49.82663716151023,31.067693135171282,2019-01-15 00:00:00
21,3.14,10.81,11.1,1.5,-0.17,prophet,0.0,130.0,195.0,2019-12-31 23:45:00,{},data/65_0.pickle,65.0,81.25,95.11528692159007,66.73586022610982,50.020939148390426,31.432047374566274,2019-01-15 00:00:00
22,3.29,10.43,10.67,1.52,-0.13,prophet,0.0,140.0,210.0,2019-12-31 23:45:00,{},data/70_0.pickle,70.0,87.5,95.17830220430797,66.43216920755756,50.06458446931665,31.272003482865745,2019-01-15 00:00:00
23,3.49,10.42,10.54,1.5,-0.2,prophet,0.0,150.0,225.0,2019-12-31 23:45:00,{},data/75_0.pickle,75.0,93.75,94.99035273175058,65.707692388576,50.13182412673368,30.997947602191584,2019-01-15 00:00:00
24,3.6,10.07,10.47,1.53,-0.13,prophet,0.0,160.0,240.0,2019-12-31 23:45:00,{},data/80_0.pickle,80.0,100.0,95.08307519129673,65.8233894655708,50.214627771013454,31.082290810537735,2019-01-15 00:00:00
25,3.72,9.76,10.11,1.52,-0.17,prophet,0.0,170.0,255.0,2019-12-31 23:45:00,{},data/85_0.pickle,85.0,106.25,95.41453075419044,66.56048105072952,50.20824306835629,31.34681483830332,2019-01-15 00:00:00
26,4.04,10.02,10.13,1.55,-0.2,prophet,0.0,180.0,270.0,2019-12-31 23:45:00,{},data/90_0.pickle,90.0,112.5,95.12467256016605,65.96010553821561,50.10986397580926,31.06600377251041,2019-01-15 00:00:00
27,4.11,9.65,9.83,1.55,-0.21,prophet,0.0,190.0,285.0,2019-12-31 23:45:00,{},data/95_0.pickle,95.0,118.75,95.2003501618115,65.69224671654199,50.29374227799925,31.01767312819147,2019-01-15 00:00:00
28,0.46,59.85,74.94,1.23,-0.0,prophet,1.0,4.0,6.0,2019-12-31 23:45:00,{},data/2_1.pickle,2.0,2.5,80.80131211389875,63.22333009072371,41.78108265355323,29.710174306542395,2019-01-15 00:00:00
29,0.66,46.51,52.24,1.78,-0.01,prophet,1.0,8.0,12.0,2019-12-31 23:45:00,{},data/4_1.pickle,4.0,5.0,84.79220613939223,60.02092166144842,44.70199838481176,28.238364248469242,2019-01-15 00:00:00
30,0.7,26.46,26.9,1.54,-0.03,prophet,1.0,12.0,18.0,2019-12-31 23:45:00,{},data/6_1.pickle,6.0,7.5,89.79208567405963,66.04091922707774,46.967628369148436,31.078321203037717,2019-01-15 00:00:00
31,0.9,26.39,30.83,1.51,-0.0,prophet,1.0,16.0,24.0,2019-12-31 23:45:00,{},data/8_1.pickle,8.0,10.0,89.27485505885052,63.40362730300376,46.87123063787903,29.7478082629481,2019-01-15 00:00:00
32,1.02,23.9,26.38,1.63,0.0,prophet,1.0,20.0,30.0,2019-12-31 23:45:00,{},data/10_1.pickle,10.0,12.5,89.57177836145034,59.45425109575744,47.95547765033748,28.29251886615133,2019-01-15 00:00:00
33,1.45,29.53,30.5,1.61,-0.02,prophet,1.0,24.0,36.0,2019-12-31 23:45:00,{},data/12_1.pickle,12.0,15.0,89.49346115570064,63.09582395865468,47.342695187088076,29.791100402281927,2019-01-15 00:00:00
34,1.44,24.9,26.48,1.49,0.0,prophet,1.0,28.0,42.0,2019-12-31 23:45:00,{},data/14_1.pickle,14.0,17.5,90.55901521814326,64.86856421924274,47.77687481033605,30.69050518053619,2019-01-15 00:00:00
35,1.26,18.68,19.9,1.5,-0.09,prophet,1.0,32.0,48.0,2019-12-31 23:45:00,{},data/16_1.pickle,16.0,20.0,90.70507053488477,60.36044806066576,48.19332774360282,28.518000234327182,2019-01-15 00:00:00
36,1.54,19.91,21.26,1.46,-0.03,prophet,1.0,36.0,54.0,2019-12-31 23:45:00,{},data/18_1.pickle,18.0,22.5,91.49117470509309,62.68197093957791,48.66150053419727,29.707339528665315,2019-01-15 00:00:00
37,1.55,17.84,19.37,1.42,-0.06,prophet,1.0,40.0,60.0,2019-12-31 23:45:00,{},data/20_1.pickle,20.0,25.0,91.6642525403648,62.895865569190676,48.53497706363566,29.693590715830915,2019-01-15 00:00:00
38,1.75,18.77,19.68,1.43,-0.03,prophet,1.0,44.0,66.0,2019-12-31 23:45:00,{},data/22_1.pickle,22.0,27.5,92.17497878162648,64.6681626094128,48.77042964733106,30.608943279612784,2019-01-15 00:00:00
39,1.77,16.65,17.87,1.37,-0.05,prophet,1.0,48.0,72.0,2019-12-31 23:45:00,{},data/24_1.pickle,24.0,30.0,92.469380188759,64.93777706625295,48.840221309297654,30.68907277991785,2019-01-15 00:00:00
40,1.75,15.51,16.46,1.47,-0.03,prophet,1.0,52.0,78.0,2019-12-31 23:45:00,{},data/26_1.pickle,26.0,32.5,92.43699778777693,62.781803549266435,49.03098238140989,29.70329221354082,2019-01-15 00:00:00
41,1.94,15.54,16.1,1.42,-0.04,prophet,1.0,56.0,84.0,2019-12-31 23:45:00,{},data/28_1.pickle,28.0,35.0,94.44799991955342,69.91026504780356,49.29716514002736,32.89517887243504,2019-01-15 00:00:00
42,2.08,15.78,16.52,1.44,-0.09,prophet,1.0,60.0,90.0,2019-12-31 23:45:00,{},data/30_1.pickle,30.0,37.5,93.42740941727276,64.83395433954642,49.36677843773853,30.56433262797596,2019-01-15 00:00:00
