,MAE_kW,MAPE_%,MAPE_9a8p_%,MASE,ME_kW,algo,batch,battery_kW,battery_kWh,end,f_kwarg,filename,index,pv_capacity,scons_%,scons_%_nobatt,ssuff_%,ssuff_%_nobatt,start
0,0.59,78.44,98.5,1.53,-0.0,snaive,0.0,4.0,6.0,2019-12-31 23:45:00,{},data/2_0.pickle,2.0,2.5,78.1269971637076,62.45864624502496,41.63064850137788,29.426794869938732,2019-01-15 00:00:00
1,0.67,36.44,43.45,1.68,-0.0,snaive,0.0,8.0,12.0,2019-12-31 23:45:00,{},data/4_0.pickle,4.0,5.0,87.2118586254487,72.58540922698215,45.19540055274524,34.20334462695815,2019-01-15 00:00:00
2,1.18,48.27,54.96,1.98,-0.0,snaive,0.0,12.0,18.0,2019-12-31 23:45:00,{},data/6_0.pickle,6.0,7.5,84.20796609842384,63.02607076979407,44.4701978290926,29.59315131016756,2019-01-15 00:00:00
3,1.05,30.79,34.47,1.74,0.01,snaive,0.0,16.0,24.0,2019-12-31 23:45:00,{},data/8_0.pickle,8.0,10.0,89.08015412884869,64.66907615350657,46.90339439332191,30.389113674305214,2019-01-15 00:00:00
4,1.18,25.6,30.72,1.77,0.0,snaive,0.0,20.0,30.0,2019-12-31 23:45:00,{},data/10_0.pickle,10.0,12.5,89.50374467133162,66.47554422448745,47.08105896037643,31.381879728708878,2019-01-15 00:00:00
5,1.48,28.81,31.53,1.75,0.0,snaive,0.0,24.0,36.0,2019-12-31 23:45:00,{},data/12_0.pickle,12.0,15.0,90.04047068218065,68.79754986376507,47.25991301333666,32.479143364011854,2019-01-15 00:00:00
6,1.87,34.3,38.71,1.75,0.0,snaive,0.0,28.0,42.0,2019-12-31 23:45:00,{},data/14_0.pickle,14.0,17.5,87.17483352688217,60.18553498256697,46.44120731153517,28.43282394922628,2019-01-15 00:00:00
7,1.72,24.19,26.9,1.74,0.01,snaive,0.0,32.0,48.0,2019-12-31 23:45:00,{},data/16_0.pickle,16.0,20.0,90.27330603573078,64.26751114623698,47.73544705633595,30.310553666972844,2019-01-15 00:00:00
8,1.87,23.55,26.11,1.82,0.01,snaive,0.0,36.0,54.0,2019-12-31 23:45:00,{},data/18_0.pickle,18.0,22.5,90.66289668523258,66.00059926044176,47.81176219024672,31.14215475959395,2019-01-15 00:00:00
9,1.9,21.77,23.9,1.85,0.03,snaive,0.0,40.0,60.0,2019-12-31 23:45:00,{},data/20_0.pickle,20.0,25.0,90.02936257022724,60.87961045063349,47.985111543969836,28.80279657659746,2019-01-15 00:00:00
10,1.94,21.12,23.08,1.74,0.01,snaive,0.0,44.0,66.0,2019-12-31 23:45:00,{},data/22_0.pickle,22.0,27.5,90.08239894868652,60.69567685412945,47.89910300029683,28.677916607737888,2019-01-15 00:00:00
11,2.21,21.09,22.63,1.89,0.0,snaive,0.0,48.0,72.0,2019-12-31 23:45:00,{},data/24_0.pickle,24.0,30.0,90.97628998777603,62.04751375476646,48.39615451395467,29.33477741190689,2019-01-15 00:00:00
12,1.93,16.11,17.74,1.71,0.01,snaive,0.0,52.0,78.0,2019-12-31 23:45:00,{},data/26_0.pickle,26.0,32.5,94.04377187978032,69.01951558817142,49.29085248140193,32.50710589063976,2019-01-15 00:00:00
13,2.23,17.9,20.06,1.67,0.02,snaive,0.0,56.0,84.0,2019-12-31 23:45:00,{},data/28_0.pickle,28.0,35.0,92.37798677269825,65.62028359496276,48.743612077697044,30.94634545708756,2019-01-15 00:00:00
